CaseId,RosterStatus,PatchTrack,Status,PatchFiles,PatchApplied,Compiled,OrdinaryPlanned,OrdinaryPassed,OrdinaryFailed,AdverseAvailable,AdversePlanned,AdverseControlPassed,AdverseControlFailed,AdverseControlInjectionConfirmed,AdversePassed,AdverseFailed,AdverseInjectionConfirmed,AdverseComparison,CausalEffectivenessEstablished,CausalIneffectivenessWitness,FaultControlOutcome,FaultControlInjectionConfirmed,PatchedFaultOutcome,PatchedFaultInjectionConfirmed,SignalFaultClassification,DynamicUnboundedWaitWitness,FaultSpecificCausalityEstablished,CancellationSignalSuppressionConfirmed,CancellationInterruptInjectionConfirmed,CancellationOutcome,CancellationClassification,CancellationClassificationRaw,DynamicInterruptionFailureWitness,CancellationSpecificCausalityEstablished,NeighborOutcome,NeighborControlOutcome,NeighborComparison,NeighborRegressionWitness,CrossTestPeer,CrossTestReusedJvmOutcome,CrossTestReusedJvmControlOutcome,CrossTestReusedJvmComparison,CrossTestReusedJvmRegressionWitness,CrossTestParallelOutcome,CrossTestParallelControlOutcome,CrossTestParallelComparison,CrossTestParallelRegressionWitness,Ledger,AggregationTrackId,AggregationTrackLabel,OfficialFullWorkflowReproduction,SourceDynamicSummary,SourceDynamicSummarySha256,SourceCaseTable,SourceCaseTableSha256,SourceValidationLedger,SourceValidationLedgerSha256,LedgerValidationProtocolVersion,LedgerCaseSlug,LedgerCaseSha,LedgerCaseTestName,OrdinaryGatePassed,MatchedRecordedDelayEvaluable,SignalLossProbeEligible,SignalLossCausalEligibility,CancellationProbeEligible,SignalLossHangCounted,FaultSpecificSignalLossHangCounted,ConfirmedInterruptionFailureCounted,NeighborRegressionRawRecorded,NeighborRegressionCounted,NeighborRegressionStatus,CompleteOperationalReliable,OperationalFailureReasons,OperationalUnknownReasons,PaperStyle100RunConfirmation,ArtifactProvenance,LocallyEmittedByCurrentArtifact,TailoredProbeVersion,TailoredSignalLossAvailable,TailoredSignalSuppressionConfirmed,TailoredSignalOutcome,TailoredSignalTimedOut,TailoredSignalClassification,TailoredSignalLossProbeEligible,TailoredSignalLossHangCounted,TailoredCancellationAvailable,TailoredCancellationSuppressionConfirmed,TailoredCancellationInterruptConfirmed,TailoredCancellationOutcome,TailoredCancellationTimedOut,TailoredCancellationClassification,TailoredCancellationProbeEligible,TailoredInterruptionFailureCounted,TailoredLedger,TailoredLedgerSha256,TailoredProtocol,TailoredProtocolSha256,StaticReliabilityViolationCounted,CompleteOperationalReliableV2,OperationalFailureReasonsV2,OperationalUnknownReasonsV2
FS001,paper-confirmed-fixed,archived,complete,2,1,1,10,0,1,1,5,0,0,0,0,0,0,inconclusive-ordinary-gate-failed,0,0,fail,1,timeout,1,generated-wait-hang-witness-with-ordinary-nonpass,1,0,0,0,,skipped-ordinary-gate-failed,unavailable-configuration,0,0,,,skipped-ordinary-gate-failed,0,,,,skipped-ordinary-gate-failed,0,,,skipped-ordinary-gate-failed,0,<PRIVATE_STUDY_ROOT>/runs/artifact_location_patch_generation/validations/FS001/validation.json,base_b2,B2 artifact-location primary dynamic validation,false,results/artifact_location_patch_validation/patch_dynamic_summary.json,664dc65c47758271bc423a0d0848243836b34eaf1a22988f5f34011cc3ac8677,results/artifact_location_patch_validation/patch_dynamic_case_findings.csv,6e4dee347087ea25742142045d45e65598b53c1c2c21b321d53a1d928c6fdf30,runs/artifact_location_patch_generation/validations/FS001/validation.json,d613f4df1ed7b9bc82c523ae71f502a57380a297a5da6daa30a794e26e86416d,v6-track-aware-matched-controls-signal-suppression-interruption,Accenture/mercury,8586dc79f8bf75a929896f0aac03fe95824d9578,org.platformlambda.core.MulticastTest#routingTest,false,false,true,false,false,true,false,false,false,false,none-recorded,false,ordinary_gate_failed;signal_loss_hang_witness,matched_recorded_delay_not_evaluable;causal_effectiveness_not_established;cancellation_probe_not_eligible;neighbor_result_not_confirmed,pending,locally-emitted-current-artifact,true,,,,,,,,,,,,,,,,,,,,,true,false,ordinary_gate_failed;signal_loss_hang_witness;generated_shared_static_mutable_counter;generated_unbounded_condition_wait;generated_busy_spin_yield;generated_missing_interrupt_path;generated_entry_reset_without_exit_cleanup,matched_recorded_delay_not_evaluable;causal_effectiveness_not_established;cancellation_probe_not_eligible;neighbor_result_not_confirmed
FS002,paper-confirmed-fixed,archived,complete,2,1,1,10,10,0,1,5,0,5,5,0,1,1,patch-not-effective-under-reproduced-recorded-delay,0,1,fail,1,fail,1,patched-process-terminated-within-bound,0,0,1,1,timeout,generated-wait-ignored-interruption-and-hung,generated-wait-ignored-interruption-and-hung,1,1,pass,,patched-pass,0,FS003,pass,,patched-pass,0,not-confirmed-executed,not-confirmed-executed,inconclusive-control-not-confirmed-executed,0,<PRIVATE_STUDY_ROOT>/runs/artifact_location_patch_generation/validations/FS002/validation.json,base_b2,B2 artifact-location primary dynamic validation,false,results/artifact_location_patch_validation/patch_dynamic_summary.json,664dc65c47758271bc423a0d0848243836b34eaf1a22988f5f34011cc3ac8677,results/artifact_location_patch_validation/patch_dynamic_case_findings.csv,6e4dee347087ea25742142045d45e65598b53c1c2c21b321d53a1d928c6fdf30,runs/artifact_location_patch_generation/validations/FS002/validation.json,b03ae1e4fd502509283ee6b9fcff49fb41454a2512fbee473c4528c180c98981,v6-track-aware-matched-controls-signal-suppression-interruption,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,tachyon.DataServerTest#readTest,true,true,true,true,true,false,false,true,false,false,none-recorded,false,causal_ineffectiveness_witness;interruption_failure_witness,,pending,locally-emitted-current-artifact,true,,,,,,,,,,,,,,,,,,,,,true,false,causal_ineffectiveness_witness;interruption_failure_witness;generated_shared_static_mutable_counter;generated_unbounded_condition_wait;generated_busy_spin_yield;generated_missing_interrupt_path;generated_entry_reset_without_exit_cleanup,
FS003,paper-confirmed-fixed,archived,complete,2,1,1,10,10,0,1,5,0,5,5,0,1,1,patch-not-effective-under-reproduced-recorded-delay,0,1,pass,1,pass,1,patched-process-terminated-within-bound,0,0,0,0,pass,inconclusive-combined-actions-not-confirmed,inconclusive-combined-actions-not-confirmed,0,0,pass,,patched-pass,0,FS002,pass,,patched-pass,0,not-confirmed-executed,not-confirmed-executed,inconclusive-control-not-confirmed-executed,0,<PRIVATE_STUDY_ROOT>/runs/artifact_location_patch_generation/validations/FS003/validation.json,base_b2,B2 artifact-location primary dynamic validation,false,results/artifact_location_patch_validation/patch_dynamic_summary.json,664dc65c47758271bc423a0d0848243836b34eaf1a22988f5f34011cc3ac8677,results/artifact_location_patch_validation/patch_dynamic_case_findings.csv,6e4dee347087ea25742142045d45e65598b53c1c2c21b321d53a1d928c6fdf30,runs/artifact_location_patch_generation/validations/FS003/validation.json,ba0e024cb468b82be8452116397dba5d1ba859075d17e9c51bc30b4576cc370f,v6-track-aware-matched-controls-signal-suppression-interruption,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,tachyon.WorkerServiceHandlerTest#evictionTest,true,true,true,true,false,false,false,false,false,false,none-recorded,false,causal_ineffectiveness_witness,cancellation_probe_not_eligible,pending,locally-emitted-current-artifact,true,,,,,,,,,,,,,,,,,,,,,true,false,causal_ineffectiveness_witness;generated_shared_static_mutable_counter;generated_unbounded_condition_wait;generated_busy_spin_yield;generated_missing_interrupt_path;generated_entry_reset_without_exit_cleanup,cancellation_probe_not_eligible
FS004,paper-confirmed-fixed,archived,complete,2,1,1,10,10,0,1,5,0,5,5,0,1,1,patch-not-effective-under-reproduced-recorded-delay,0,1,fail,0,pass,1,inconclusive-injection-not-confirmed,0,0,0,1,fail,inconclusive-combined-actions-not-confirmed,inconclusive-combined-actions-not-confirmed,0,0,pass,,patched-pass,0,FS002,pass,,patched-pass,0,not-confirmed-executed,not-confirmed-executed,inconclusive-control-not-confirmed-executed,0,<PRIVATE_STUDY_ROOT>/runs/artifact_location_patch_generation/validations/FS004/validation.json,base_b2,B2 artifact-location primary dynamic validation,false,results/artifact_location_patch_validation/patch_dynamic_summary.json,664dc65c47758271bc423a0d0848243836b34eaf1a22988f5f34011cc3ac8677,results/artifact_location_patch_validation/patch_dynamic_case_findings.csv,6e4dee347087ea25742142045d45e65598b53c1c2c21b321d53a1d928c6fdf30,runs/artifact_location_patch_generation/validations/FS004/validation.json,cf442e61778bc7b864d7b210aa19bcd82eb4c5a6c0af823103d6a7b9032386d1,v6-track-aware-matched-controls-signal-suppression-interruption,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,tachyon.client.TachyonFSTest#deleteFileTest,true,true,false,false,false,false,false,false,false,false,none-recorded,false,causal_ineffectiveness_witness,signal_loss_probe_not_eligible;cancellation_probe_not_eligible,pending,locally-emitted-current-artifact,true,,,,,,,,,,,,,,,,,,,,,true,false,causal_ineffectiveness_witness;generated_shared_static_mutable_counter;generated_unbounded_condition_wait;generated_busy_spin_yield;generated_missing_interrupt_path;generated_entry_reset_without_exit_cleanup,signal_loss_probe_not_eligible;cancellation_probe_not_eligible
FS005,paper-confirmed-fixed,archived,complete,2,1,1,10,10,0,1,5,0,5,5,0,1,1,patch-not-effective-under-reproduced-recorded-delay,0,1,fail,1,timeout,1,fault-induced-generated-wait-hang-witness,1,1,1,1,timeout,generated-wait-ignored-interruption-and-hung,generated-wait-ignored-interruption-and-hung,1,1,pass,,patched-pass,0,FS002,pass,,patched-pass,0,not-confirmed-executed,not-confirmed-executed,inconclusive-control-not-confirmed-executed,0,<PRIVATE_STUDY_ROOT>/runs/artifact_location_patch_generation/validations/FS005/validation.json,base_b2,B2 artifact-location primary dynamic validation,false,results/artifact_location_patch_validation/patch_dynamic_summary.json,664dc65c47758271bc423a0d0848243836b34eaf1a22988f5f34011cc3ac8677,results/artifact_location_patch_validation/patch_dynamic_case_findings.csv,6e4dee347087ea25742142045d45e65598b53c1c2c21b321d53a1d928c6fdf30,runs/artifact_location_patch_generation/validations/FS005/validation.json,6b120b16bd065235145bbda93ada5d75fe7f42af2d0d5f6e122f82bec9bd7cc4,v6-track-aware-matched-controls-signal-suppression-interruption,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,tachyon.client.TachyonFSTest#lockBlockTest1,true,true,true,true,true,true,true,true,false,false,none-recorded,false,causal_ineffectiveness_witness;signal_loss_hang_witness;interruption_failure_witness,,pending,locally-emitted-current-artifact,true,,,,,,,,,,,,,,,,,,,,,true,false,causal_ineffectiveness_witness;signal_loss_hang_witness;interruption_failure_witness;generated_shared_static_mutable_counter;generated_unbounded_condition_wait;generated_busy_spin_yield;generated_missing_interrupt_path;generated_entry_reset_without_exit_cleanup,
FS006,paper-confirmed-fixed,archived,complete,2,1,1,10,10,0,1,5,0,5,5,0,1,1,patch-not-effective-under-reproduced-recorded-delay,0,1,fail,1,timeout,1,fault-induced-generated-wait-hang-witness,1,1,1,1,timeout,generated-wait-ignored-interruption-and-hung,generated-wait-ignored-interruption-and-hung,1,1,pass,,patched-pass,0,FS002,pass,,patched-pass,0,not-confirmed-executed,not-confirmed-executed,inconclusive-control-not-confirmed-executed,0,<PRIVATE_STUDY_ROOT>/runs/artifact_location_patch_generation/validations/FS006/validation.json,base_b2,B2 artifact-location primary dynamic validation,false,results/artifact_location_patch_validation/patch_dynamic_summary.json,664dc65c47758271bc423a0d0848243836b34eaf1a22988f5f34011cc3ac8677,results/artifact_location_patch_validation/patch_dynamic_case_findings.csv,6e4dee347087ea25742142045d45e65598b53c1c2c21b321d53a1d928c6fdf30,runs/artifact_location_patch_generation/validations/FS006/validation.json,941e022590484215ee42f95fbeef9cd9336214386ffcbb214e5fd7fb3e8056fe,v6-track-aware-matched-controls-signal-suppression-interruption,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,tachyon.client.TachyonFSTest#unlockBlockTest1,true,true,true,true,true,true,true,true,false,false,none-recorded,false,causal_ineffectiveness_witness;signal_loss_hang_witness;interruption_failure_witness,,pending,locally-emitted-current-artifact,true,,,,,,,,,,,,,,,,,,,,,true,false,causal_ineffectiveness_witness;signal_loss_hang_witness;interruption_failure_witness;generated_shared_static_mutable_counter;generated_unbounded_condition_wait;generated_busy_spin_yield;generated_missing_interrupt_path;generated_entry_reset_without_exit_cleanup,
FS007,paper-confirmed-fixed,archived,complete,2,1,1,10,10,0,1,5,0,5,5,0,1,1,patch-not-effective-under-reproduced-recorded-delay,0,1,fail,1,timeout,1,fault-induced-generated-wait-hang-witness,1,1,1,1,timeout,generated-wait-ignored-interruption-and-hung,generated-wait-ignored-interruption-and-hung,1,1,pass,,patched-pass,0,FS002,pass,,patched-pass,0,not-confirmed-executed,not-confirmed-executed,inconclusive-control-not-confirmed-executed,0,<PRIVATE_STUDY_ROOT>/runs/artifact_location_patch_generation/validations/FS007/validation.json,base_b2,B2 artifact-location primary dynamic validation,false,results/artifact_location_patch_validation/patch_dynamic_summary.json,664dc65c47758271bc423a0d0848243836b34eaf1a22988f5f34011cc3ac8677,results/artifact_location_patch_validation/patch_dynamic_case_findings.csv,6e4dee347087ea25742142045d45e65598b53c1c2c21b321d53a1d928c6fdf30,runs/artifact_location_patch_generation/validations/FS007/validation.json,509f33d4bc1dd1fcef411e5cd9352eec2a6dd9fc14321a17a18b58916ee6df4d,v6-track-aware-matched-controls-signal-suppression-interruption,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,tachyon.client.TachyonFSTest#unlockBlockTest3,true,true,true,true,true,true,true,true,false,false,none-recorded,false,causal_ineffectiveness_witness;signal_loss_hang_witness;interruption_failure_witness,,pending,locally-emitted-current-artifact,true,,,,,,,,,,,,,,,,,,,,,true,false,causal_ineffectiveness_witness;signal_loss_hang_witness;interruption_failure_witness;generated_shared_static_mutable_counter;generated_unbounded_condition_wait;generated_busy_spin_yield;generated_missing_interrupt_path;generated_entry_reset_without_exit_cleanup,
FS014,paper-confirmed-fixed,archived,complete,2,1,1,10,10,0,1,5,0,5,5,0,1,1,patch-not-effective-under-reproduced-recorded-delay,0,1,fail,1,fail,1,patched-process-terminated-within-bound,0,0,1,1,timeout,generated-wait-ignored-interruption-and-hung,generated-wait-ignored-interruption-and-hung,1,1,pass,,patched-pass,0,FS008,pass,,patched-pass,0,pass,,patched-pass,0,<PRIVATE_STUDY_ROOT>/runs/artifact_location_patch_generation/validations/FS014/validation.json,base_b2,B2 artifact-location primary dynamic validation,false,results/artifact_location_patch_validation/patch_dynamic_summary.json,664dc65c47758271bc423a0d0848243836b34eaf1a22988f5f34011cc3ac8677,results/artifact_location_patch_validation/patch_dynamic_case_findings.csv,6e4dee347087ea25742142045d45e65598b53c1c2c21b321d53a1d928c6fdf30,runs/artifact_location_patch_generation/validations/FS014/validation.json,44e1859e295c34c3029d42abb99a0cb90866a3380acd487f36e840ab4af6f49a,v6-track-aware-matched-controls-signal-suppression-interruption,TooTallNate/Java-WebSocket,fa3909c391195178ccf5a92d4ac342a30ae247c8,org.java_websocket.issues.Issue677Test#testIssue,true,true,true,true,true,false,false,true,false,false,none-recorded,false,causal_ineffectiveness_witness;interruption_failure_witness,,pending,locally-emitted-current-artifact,true,,,,,,,,,,,,,,,,,,,,,true,false,causal_ineffectiveness_witness;interruption_failure_witness;generated_shared_static_mutable_counter;generated_unbounded_condition_wait;generated_busy_spin_yield;generated_missing_interrupt_path;generated_entry_reset_without_exit_cleanup,
FS016,paper-confirmed-fixed,archived,complete,2,1,1,10,10,0,1,5,5,0,0,5,0,0,inconclusive-control-injection-not-confirmed,0,0,pass,0,pass,0,inconclusive-injection-not-confirmed,0,0,0,0,pass,inconclusive-combined-actions-not-confirmed,inconclusive-combined-actions-not-confirmed,0,0,pass,,patched-pass,0,,,,unavailable-no-peer,0,,,unavailable-no-peer,0,<PRIVATE_STUDY_ROOT>/runs/artifact_location_patch_generation/validations/FS016/validation.json,base_b2,B2 artifact-location primary dynamic validation,false,results/artifact_location_patch_validation/patch_dynamic_summary.json,664dc65c47758271bc423a0d0848243836b34eaf1a22988f5f34011cc3ac8677,results/artifact_location_patch_validation/patch_dynamic_case_findings.csv,6e4dee347087ea25742142045d45e65598b53c1c2c21b321d53a1d928c6fdf30,runs/artifact_location_patch_generation/validations/FS016/validation.json,689f20b044155e76a6f4b6e5ad98838cd99c67a7e20bdf0fbe0767a87842283f,v6-track-aware-matched-controls-signal-suppression-interruption,alibaba/wasp,b2593d8,com.alibaba.wasp.executor.TestExecutorService#testExecutorService,true,false,false,false,false,false,false,false,false,false,none-recorded,unknown,,matched_recorded_delay_not_evaluable;causal_effectiveness_not_established;signal_loss_probe_not_eligible;cancellation_probe_not_eligible,pending,locally-emitted-current-artifact,true,,,,,,,,,,,,,,,,,,,,,true,false,generated_shared_static_mutable_counter;generated_unbounded_condition_wait;generated_busy_spin_yield;generated_missing_interrupt_path;generated_entry_reset_without_exit_cleanup,matched_recorded_delay_not_evaluable;causal_effectiveness_not_established;signal_loss_probe_not_eligible;cancellation_probe_not_eligible
FS018,paper-confirmed-fixed,root-reactor,compile-failed,2,1,0,10,0,0,0,5,0,0,0,0,0,0,,0,0,pass,0,,0,,0,0,0,0,,,,0,0,,,,0,,,,,0,,,,0,<PRIVATE_STUDY_ROOT>/runs/root_reactor_patch_validation_v1/validations/FS018/validation.json,new_root_reactor,Experimental root-reactor patch-goal replay dynamic validation,false,results/root_reactor_patch_validation_v1/patch_dynamic_summary.json,74941124b4bc6ba197532ee3b6c39dde88107e2a054f0c8c1ecacc28a7fc130a,results/root_reactor_patch_validation_v1/patch_dynamic_case_findings.csv,a8e2399d229656382f1b6e1d02e93d473143e188d4ee3f020b187025a5973d9c,runs/root_reactor_patch_validation_v1/validations/FS018/validation.json,ef7550e2f61bf702073b48fee3dc9f752318bd5c2badd6b2587963198c129885,v6-track-aware-matched-controls-signal-suppression-interruption,apache/dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest#testDemoProtocol,false,false,false,false,false,false,false,false,false,false,none-recorded,false,compile_failed;ordinary_gate_failed,matched_recorded_delay_not_evaluable;causal_effectiveness_not_established;signal_loss_probe_not_eligible;cancellation_probe_not_eligible,pending,locally-emitted-current-artifact,true,,,,,,,,,,,,,,,,,,,,,true,false,compile_failed;ordinary_gate_failed;generated_shared_static_mutable_counter;generated_unbounded_condition_wait;generated_busy_spin_yield;generated_missing_interrupt_path;generated_entry_reset_without_exit_cleanup,matched_recorded_delay_not_evaluable;causal_effectiveness_not_established;signal_loss_probe_not_eligible;cancellation_probe_not_eligible
